BO_cost,Case_id,H_cost,Lamda,Num_back_orders,Parameter_Name,Parameter_Value,Server_cost,T_cost,Used_server,Utilization,Var_level
46882.4559063073,Case: 0022,25311.1774752197,0.5,2.7877687058,holding_cost,1.5,500000,572193.6333815269,5,0.7999999935,0.05
97692.1151880585,Case: 0022,27158.8108167704,0.5,5.8090604739,holding_cost,2.0,500000,624850.9260048289,5,0.7999999935,0.05
114456.6117333837,Case: 0022,31566.5274589422,0.5,6.8059267416,holding_cost,2.5,500000,646023.139192326,5,0.7999999935,0.05
136335.3395946058,Case: 0022,34562.2406353002,0.5,8.1069002438,holding_cost,3.0,500000,670897.5802299059,5,0.7999999935,0.05
54527.8445133297,Case: 0023,72281.365819664,0.5,4.8694603341,holding_cost,1.25,800000,926809.2103329938,8,1.0000000002,0.05
101208.8390649967,Case: 0023,85000.9173332152,0.5,9.0381791483,holding_cost,1.5,800000,986209.7563982119,8,1.0000000002,0.05
160333.8524926549,Case: 0023,110717.0767465181,0.5,14.3181771054,holding_cost,2.0,800000,1071050.929239173,8,1.0000000002,0.05
211758.268103938,Case: 0023,135374.2423768792,0.5,18.9104941914,holding_cost,2.5,800000,1147132.5104808172,8,1.0000000002,0.05
263270.1284043902,Case: 0023,158904.5519833635,0.5,23.5106202867,holding_cost,3.0,800000,1222174.6803877535,8,1.0000000002,0.05
19201.2153596807,Case: 0029,15396.4658361321,0.5,0.8298022883,holding_cost,1.25,500000,534597.6811958129,5,0.8000000006,0.05
36512.4729311496,Case: 0029,16455.3391795749,0.5,1.5779279082,holding_cost,1.5,500000,552967.8121107245,5,0.8000000006,0.05
86629.6780352582,Case: 0029,18688.0954419093,0.5,3.7437997397,holding_cost,2.0,500000,605317.7734771675,5,0.8000000006,0.05
111110.9646395774,Case: 0029,21834.5232704917,0.5,4.8017862922,holding_cost,2.5,500000,632945.4879100692,5,0.8000000006,0.05
137586.368689093,Case: 0029,25340.9364960403,0.5,5.9459508907,holding_cost,3.0,500000,662927.3051851334,5,0.8000000006,0.05
24528.4170614342,Case: 0032,62468.8710899927,0.5,0.8650000705,holding_cost,1.25,800000,886997.2881514269,8,0.9999999999,0.05
61771.6069605908,Case: 0032,71286.1899421163,0.5,2.1783894266,holding_cost,1.5,800000,933057.7969027071,8,0.9999999999,0.05
89237.7734892029,Case: 0032,91030.6792320862,0.5,3.146989884,holding_cost,2.0,800000,980268.4527212891,8,0.9999999999,0.05
103910.5797341478,Case: 0032,111791.1709024451,0.5,3.6644296522,holding_cost,2.5,800000,1015701.7506365929,8,0.9999999999,0.05
145021.7253516398,Case: 0032,130230.8378046758,0.5,5.114223325,holding_cost,3.0,800000,1075252.5631563156,8,0.9999999999,0.05
13500.6773203374,Case: 0034,40594.9568996497,0.5,0.6125437844,holding_cost,1.25,800000,854095.6342199871,8,0.9999999985,0.05
26227.3512935568,Case: 0034,47314.9302216564,0.5,1.1899700019,holding_cost,1.5,800000,873542.2815152132,8,0.9999999985,0.05
83858.1234879547,Case: 0034,57261.4457943539,0.5,3.8047552056,holding_cost,2.0,800000,941119.5692823086,8,0.9999999985,0.05
130336.7066437729,Case: 0034,69844.988076339,0.5,5.9135506789,holding_cost,2.5,800000,1000181.6947201118,8,0.9999999985,0.05
190648.040122379,Case: 0034,82177.8025027712,0.5,8.6499565328,holding_cost,3.0,800000,1072825.8426251502,8,0.9999999985,0.05
11217.8337871639,Case: 0035,16724.1667194306,0.5,0.4195193188,holding_cost,1.25,500000,527942.0005065945,5,0.7999999998,0.05
28395.7561321901,Case: 0035,17171.042684401,0.5,1.0619312512,holding_cost,1.5,500000,545566.7988165912,5,0.7999999998,0.05
53229.2276486447,Case: 0035,20403.0066910718,0.5,1.9906418429,holding_cost,2.0,500000,573632.2343397166,5,0.7999999998,0.05
62060.6849927436,Case: 0035,24255.2537181842,0.5,2.3209165679,holding_cost,2.5,500000,586315.9387109277,5,0.7999999998,0.05
91192.9441758725,Case: 0035,24921.9847003399,0.5,3.4103912169,holding_cost,3.0,500000,616114.9288762123,5,0.7999999998,0.05
13089.5183240949,Case: 0041,17169.9782178618,0.5,0.8212088006,holding_cost,1.25,900000,930259.4965419567,9,0.888888889,0.05
46321.6443639409,Case: 0041,16561.22915885,0.5,2.9061223696,holding_cost,1.5,900000,962882.873522791,9,0.888888889,0.05
66665.9488732283,Case: 0041,19078.5831008243,0.5,4.1824811699,holding_cost,2.0,900000,985744.5319740527,9,0.888888889,0.05
87392.3777752547,Case: 0041,20884.9131072535,0.5,5.4828136494,holding_cost,2.5,900000,1008277.2908825083,9,0.888888889,0.05
113389.6783230004,Case: 0041,22090.7021536944,0.5,7.1138295105,holding_cost,3.0,900000,1035480.3804766948,9,0.888888889,0.05
15128.6543871466,Case: 0044,8244.4246042709,0.5,0.9146556829,holding_cost,1.25,500000,523373.0789914175,5,0.8000000005,0.05
28573.0736983396,Case: 0044,8995.5159243105,0.5,1.7274850471,holding_cost,1.5,500000,537568.5896226501,5,0.8000000005,0.05
48459.8613747357,Case: 0044,10387.8931383343,0.5,2.92981031,holding_cost,2.0,500000,558847.75451307,5,0.8000000005,0.05
61745.3333199234,Case: 0044,11513.5065435406,0.5,3.7330299556,holding_cost,2.5,500000,573258.839863464,5,0.8000000005,0.05
62040.3693515659,Case: 0044,13655.9520904994,0.5,3.7508673902,holding_cost,3.0,500000,575696.3214420653,5,0.8000000005,0.05
12814.6727147882,Case: 0075,10579.4716889295,0.5,0.7832662273,holding_cost,1.25,50000,73394.1444037176,5,0.7999999997,0.05
21888.0887521066,Case: 0075,11829.0996598111,0.5,1.3378570863,holding_cost,1.5,50000,83717.1884119177,5,0.7999999997,0.05
30185.3477727414,Case: 0075,14410.1399162085,0.5,1.8450072036,holding_cost,2.0,50000,94595.4876889499,5,0.7999999997,0.05
53000.8943188091,Case: 0075,15932.0654811587,0.5,3.2395529298,holding_cost,2.5,50000,118932.9597999678,5,0.7999999997,0.05
78960.7044711185,Case: 0075,17519.9843174489,0.5,4.8262842504,holding_cost,3.0,50000,146480.6887885675,5,0.7999999997,0.05
5375.5070111967,Case: 0076,16774.8218687529,1.0,0.3936189073,holding_cost,1.25,90000,112150.3288799496,9,0.8888888913,0.05
6108.930811097,Case: 0076,19342.0296233461,1.0,0.4473235112,holding_cost,1.5,90000,115450.9604344431,9,0.8888888913,0.05
10488.3641288985,Case: 0076,20640.1399467908,1.0,0.768005403,holding_cost,2.0,90000,121128.5040756892,9,0.8888888913,0.05
