BO_cost,Case_id,H_cost,Lamda,Num_back_orders,Parameter_Name,Parameter_Value,Server_cost,T_cost,Used_server,Utilization,Var_level
44681.8400585383,Case: 0029,6391.5894130779,0.0,1.9309763694,penalty_cost,1.0,600000,651073.4294716162,6,0.6666666671,0.05
47449.3692602103,Case: 0029,6412.8007557018,0.0,1.7088152343,penalty_cost,1.2,600000,653862.170015912,6,0.6666666671,0.05
54327.5344966835,Case: 0029,6422.7279990752,0.0,1.6770185635,penalty_cost,1.4,600000,660750.2624957587,6,0.6666666671,0.05
67024.5724466435,Case: 0029,6429.0402727271,0.0,1.6091904874,penalty_cost,1.8,600000,673453.6127193706,6,0.6666666671,0.05
191811.3252236745,Case: 0032,16987.150536316,0.0,8.4553361839,penalty_cost,0.8,900000,1108798.4757599905,9,0.8888888888,0.05
193873.7121134631,Case: 0032,17129.8998761532,0.0,6.8369994784,penalty_cost,1.0,900000,1111003.6119896162,9,0.8888888888,0.05
215495.8391062169,Case: 0032,17193.1030040227,0.0,6.3329238207,penalty_cost,1.2,900000,1132688.9421102398,9,0.8888888888,0.05
226207.931908571,Case: 0032,17277.1470400207,0.0,5.6980520818,penalty_cost,1.4,900000,1143485.0789485916,9,0.8888888888,0.05
259697.9380490956,Case: 0032,17424.3076469589,0.0,5.0879474514,penalty_cost,1.8,900000,1177122.2456960545,9,0.8888888888,0.05
102147.649800459,Case: 0034,12253.2647876515,0.0,5.7932193411,penalty_cost,0.8,900000,1014400.9145881105,9,0.8888888876,0.05
98880.6948610304,Case: 0034,12763.715767511,0.0,4.4863493584,penalty_cost,1.0,900000,1011644.4106285414,9,0.8888888876,0.05
94958.343799232,Case: 0034,13106.3669751516,0.0,3.5903225378,penalty_cost,1.2,900000,1008064.7107743836,9,0.8888888876,0.05
95825.4716199908,Case: 0034,13297.0070500542,0.0,3.1055212816,penalty_cost,1.4,900000,1009122.478670045,9,0.8888888876,0.05
111229.5751412111,Case: 0034,13344.4430953369,0.0,2.8036858727,penalty_cost,1.8,900000,1024574.018236548,9,0.8888888876,0.05
77445.1898353138,Case: 0035,6295.6734750699,0.0,3.6203238857,penalty_cost,0.8,700000,783740.8633103836,7,0.5714285713,0.05
42260.3127671215,Case: 0035,7290.1284898522,0.0,1.5804314773,penalty_cost,1.0,700000,749550.4412569737,7,0.5714285713,0.05
47113.9150308584,Case: 0035,7338.7427639007,0.0,1.4682868602,penalty_cost,1.2,700000,754452.6577947591,7,0.5714285713,0.05
48384.3336540516,Case: 0035,7386.326050211,0.0,1.2924676827,penalty_cost,1.4,700000,755770.6597042626,7,0.5714285713,0.05
57904.8252721716,Case: 0035,7409.1546929181,0.0,1.2030542574,penalty_cost,1.8,700000,765313.9799650897,7,0.5714285713,0.05
31359.8948061615,Case: 0041,9444.9474657528,0.0,2.4593171576,penalty_cost,0.8,1000000,1040804.8422719144,10,0.8000000001,0.05
18359.6966769303,Case: 0041,10285.2084357485,0.0,1.1518486864,penalty_cost,1.0,1000000,1028644.9051126789,10,0.8000000001,0.05
19654.2153896522,Case: 0041,10345.316197434,0.0,1.0275533858,penalty_cost,1.2,1000000,1029999.5315870863,10,0.8000000001,0.05
19907.9432244454,Case: 0041,10357.7576873802,0.0,0.8921302948,penalty_cost,1.4,1000000,1030265.7009118256,10,0.8000000001,0.05
25595.9270028584,Case: 0041,10357.7576873802,0.0,0.8921302948,penalty_cost,1.8,1000000,1035953.6846902386,10,0.8000000001,0.05
104389.9665752576,Case: 0044,4376.3310131634,0.0,7.8890754033,penalty_cost,0.8,600000,708766.297588421,6,0.6666666671,0.05
88467.4460632689,Case: 0044,4737.881766695,0.0,5.3486086882,penalty_cost,1.0,600000,693205.3278299639,6,0.6666666671,0.05
86820.2929156799,Case: 0044,4858.5182504414,0.0,4.3741869059,penalty_cost,1.2,600000,691678.8111661214,6,0.6666666671,0.05
88299.1629672845,Case: 0044,4950.1973758153,0.0,3.8131675324,penalty_cost,1.4,600000,693249.3603430998,6,0.6666666671,0.05
93624.0547693526,Case: 0044,5109.0533838263,0.0,3.144649718,penalty_cost,1.8,600000,698733.1081531789,6,0.6666666671,0.05
22272.9771660102,Case: 0075,2756.2391741974,0.0,1.7017280878,penalty_cost,0.8,80000,105029.2163402076,8,0.4999999998,0.05
8140.2650482646,Case: 0075,3422.771984492,0.0,0.4975542361,penalty_cost,1.0,80000,91563.0370327566,8,0.4999999998,0.05
7621.2435267632,Case: 0075,3484.7388942586,0.0,0.3881919056,penalty_cost,1.2,80000,91105.9824210218,8,0.4999999998,0.05
8891.4507812237,Case: 0075,3484.7388942586,0.0,0.3881919056,penalty_cost,1.4,80000,92376.1896754823,8,0.4999999998,0.05
11431.8652901448,Case: 0075,3484.7388942586,0.0,0.3881919056,penalty_cost,1.8,80000,94916.6041844034,8,0.4999999998,0.05
9160.1370956241,Case: 0076,11316.0506356928,0.5,0.8384332741,penalty_cost,0.8,90000,110476.1877313169,9,0.8888888913,0.05
6758.3504460515,Case: 0076,12191.6011833899,0.5,0.4948769507,penalty_cost,1.0,90000,108949.9516294414,9,0.8888888913,0.05
7249.5212109898,Case: 0076,12579.8845992927,0.5,0.4423689108,penalty_cost,1.2,90000,109829.4058102825,9,0.8888888913,0.05
7728.1042365759,Case: 0076,12914.6293690802,0.5,0.4042047886,penalty_cost,1.4,90000,110642.7336056561,9,0.8888888913,0.05
9116.598444207,Case: 0076,13274.7560618879,0.5,0.3708658459,penalty_cost,1.8,90000,112391.3545060949,9,0.8888888913,0.05
